"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Blackwell R.E.; Harvey R.; Queste B.Y.; Fielding S.","Blackwell, Robert E. (57215899004); Harvey, Richard (7401534807); Queste, Bastien Y. (54894353600); Fielding, Sophie (57189229179)","57215899004; 7401534807; 54894353600; 57189229179","Colour maps for fisheries acoustic echograms","2020","ICES Journal of Marine Science","77","2","","826","834","8","5","10.1093/icesjms/fsz242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082303471&doi=10.1093%2ficesjms%2ffsz242&partnerID=40&md5=a8575020b50a63ea719b21a0893f9800","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85082303471"
"Knoll M.; Borrione I.; Fieka H.-V.; Funk A.; Hemming M.P.; Kaiser J.; Onken R.; Queste B.; Russo A.","Knoll, Michaela (15749504500); Borrione, Ines (55566779600); Fieka, Heinz-Volker (6505739612); Funk, Andreas (16642852700); Hemming, Michael P. (57194329360); Kaiser, Jan (7402184800); Onken, Reiner (6603906063); Queste, Bastien (54894353600); Russo, Aniello (7402518792)","15749504500; 55566779600; 6505739612; 16642852700; 57194329360; 7402184800; 6603906063; 54894353600; 7402518792","Hydrography and circulation west of Sardinia in June 2014","2017","Ocean Science","13","6","","889","904","15","9","10.5194/os-13-889-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034245630&doi=10.5194%2fos-13-889-2017&partnerID=40&md5=031593b25c435c4ef2bd0747002017c0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85034245630"
"Droste E.S.; Hoppema M.; González-Dávila M.; Santana-Casiano J.M.; Queste B.Y.; Dall'olmo G.; Venables H.J.; Rohardt G.; Ossebaar S.; Schuller D.; Trace-Kleeberg S.; Bakker D.C.E.","Droste, Elise S. (57216688695); Hoppema, Mario (35401714600); González-Dávila, Melchor (6603931257); Santana-Casiano, Juana Magdalena (6701344294); Queste, Bastien Y. (54894353600); Dall'olmo, Giorgio (6506938284); Venables, Hugh J. (22836719000); Rohardt, Gerd (6603137638); Ossebaar, Sharyn (56717706100); Schuller, Daniel (56207730500); Trace-Kleeberg, Sunke (57473037900); Bakker, Dorothee C. E. (7102601507)","57216688695; 35401714600; 6603931257; 6701344294; 54894353600; 6506938284; 22836719000; 6603137638; 56717706100; 56207730500; 57473037900; 7102601507","The influence of tides on the marine carbonate chemistry of a coastal polynya in the south-eastern Weddell Sea","2022","Ocean Science","18","5","","1293","1320","27","2","10.5194/os-18-1293-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140485813&doi=10.5194%2fos-18-1293-2022&partnerID=40&md5=23b5ab9ed4519aed72923282936f534a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140485813"
"Giddy I.S.; Nicholson S.-A.; Queste B.Y.; Thomalla S.; Swart S.","Giddy, I.S. (55359123100); Nicholson, S.-A. (57191163444); Queste, B.Y. (54894353600); Thomalla, S. (14523467600); Swart, S. (16481564100)","55359123100; 57191163444; 54894353600; 14523467600; 16481564100","Sea-Ice Impacts Inter-Annual Variability of Phytoplankton Bloom Characteristics and Carbon Export in the Weddell Sea","2023","Geophysical Research Letters","50","16","e2023GL103695","","","","3","10.1029/2023GL103695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168423489&doi=10.1029%2f2023GL103695&partnerID=40&md5=63bfec6743eb75a992115a8cfa93dbdc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168423489"
"Nelson M.J.S.; Queste B.Y.; Smith I.J.; Leonard G.H.; Webber B.G.M.; Hughes K.G.","Nelson, Monica J.S. (58647050300); Queste, Bastien Y. (54894353600); Smith, Inga J. (25925460000); Leonard, Gregory H. (7103014909); Webber, Benjamin G.M. (55094619400); Hughes, Kenneth G. (55980399800)","58647050300; 54894353600; 25925460000; 7103014909; 55094619400; 55980399800","Measurements of Ice Shelf Water beneath the front of the Ross Ice Shelf using gliders","2017","Annals of Glaciology","58","74","","41","50","9","10","10.1017/aog.2017.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037171908&doi=10.1017%2faog.2017.34&partnerID=40&md5=4045fb3e88fea3e21af7374907a332c1","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85037171908"
"Cauchy P.; Heywood K.J.; Merchant N.D.; Queste B.Y.; Testor P.","Cauchy, Pierre (56866079600); Heywood, Karen J. (7003373288); Merchant, Nathan D. (55234347000); Queste, Bastien Y. (54894353600); Testor, Pierre (8894760600)","56866079600; 7003373288; 55234347000; 54894353600; 8894760600","Wind speed measured from underwater gliders using passive acoustics","2018","Journal of Atmospheric and Oceanic Technology","35","12","","2305","2321","16","21","10.1175/JTECH-D-17-0209.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059262308&doi=10.1175%2fJTECH-D-17-0209.1&partnerID=40&md5=55c0cdebff65dee25ae2d2196aa2c253","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85059262308"
"Asper V.; Smith W.; Lee C.; Gobat J.; Heywood K.; Queste B.; Dinniman M.","Asper, Vernon (6602886534); Smith, Walker (7406472159); Lee, Craig (55541588900); Gobat, Jason (6604020624); Heywood, Karen (7003373288); Queste, Bastien (54894353600); Dinniman, Michael (6506338247)","6602886534; 7406472159; 55541588900; 6604020624; 7003373288; 54894353600; 6506338247","Using gliders to study a phytoplankton bloom in the Ross Sea, antarctica","2011","OCEANS'11 - MTS/IEEE Kona, Program Book","","","6107082","","","","10","10.23919/oceans.2011.6107082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862932399&doi=10.23919%2foceans.2011.6107082&partnerID=40&md5=d79727b3e606870b815affc21f0b98a6","Conference paper","Final","","Scopus","2-s2.0-84862932399"
"Mohrmann M.; C. Biddle L.; Rehder G.; Bittig H.C.; Queste B.Y.","Mohrmann, Martin (57216035707); C. Biddle, Louise (59526973000); Rehder, Gregor (55956886500); Bittig, Henry C. (55557736800); Queste, Bastien Y. (54894353600)","57216035707; 59526973000; 55956886500; 55557736800; 54894353600","Nord Stream methane leaks spread across 14% of Baltic waters","2025","Nature Communications ","16","1","281","","","","1","10.1038/s41467-024-53779-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215932060&doi=10.1038%2fs41467-024-53779-0&partnerID=40&md5=a51dd07d8eb1709ea207834dd3eaf58c","Article","Final","","Scopus","2-s2.0-85215932060"
"Kaufman D.E.; Friedrichs M.A.M.; Smith W.O.; Queste B.Y.; Heywood K.J.","Kaufman, Daniel E. (56227433000); Friedrichs, Marjorie A.M. (7004314479); Smith, Walker O. (7406472159); Queste, Bastien Y. (54894353600); Heywood, Karen J. (7003373288)","56227433000; 7004314479; 7406472159; 54894353600; 7003373288","Biogeochemical variability in the southern Ross Sea as observed by a glider deployment","2014","Deep-Sea Research Part I: Oceanographic Research Papers","92","","","93","106","13","47","10.1016/j.dsr.2014.06.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905660301&doi=10.1016%2fj.dsr.2014.06.011&partnerID=40&md5=c7ff939411cbd55c88f1655ce2f0ec4f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84905660301"
"Davis P.E.D.; Nicholls K.W.; Holland D.M.; Schmidt B.E.; Washam P.; Riverman K.L.; Arthern R.J.; Vaňková I.; Eayrs C.; Smith J.A.; Anker P.G.D.; Mullen A.D.; Dichek D.; Lawrence J.D.; Meister M.M.; Clyne E.; Basinski-Ferris A.; Rignot E.; Queste B.Y.; Boehme L.; Heywood K.J.; Anandakrishnan S.; Makinson K.","Davis, Peter E. D. (56440739100); Nicholls, Keith W. (7006627466); Holland, David M. (36102803900); Schmidt, Britney E. (26027205800); Washam, Peter (57192878849); Riverman, Kiya L. (55500163700); Arthern, Robert J. (6602150884); Vaňková, Irena (57203599161); Eayrs, Clare (56614749000); Smith, James A. (7410178204); Anker, Paul G. D. (56454094300); Mullen, Andrew D. (57220810918); Dichek, Daniel (57204148323); Lawrence, Justin D. (57194111242); Meister, Matthew M. (56494450600); Clyne, Elisabeth (57203970909); Basinski-Ferris, Aurora (58104345800); Rignot, Eric (7005939834); Queste, Bastien Y. (54894353600); Boehme, Lars (57203674675); Heywood, Karen J. (7003373288); Anandakrishnan, Sridhar (55882677300); Makinson, Keith (57207540582)","56440739100; 7006627466; 36102803900; 26027205800; 57192878849; 55500163700; 6602150884; 57203599161; 56614749000; 7410178204; 56454094300; 57220810918; 57204148323; 57194111242; 56494450600; 57203970909; 58104345800; 7005939834; 54894353600; 57203674675; 7003373288; 55882677300; 57207540582","Suppressed basal melting in the eastern Thwaites Glacier grounding zone","2023","Nature","614","7948","","479","485","6","40","10.1038/s41586-022-05586-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148115119&doi=10.1038%2fs41586-022-05586-0&partnerID=40&md5=0f2983528b9043521458f5a87d926b35","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85148115119"
"Harris S.J.; Schwietzke S.; France J.L.; Velandia Salinas N.; Meixus Fernandez T.; Randles C.; Guanter L.; Irakulis-Loitxate I.; Calcan A.; Aben I.; Abrahamsson K.; Balcombe P.; Berchet A.; Biddle L.C.; Bittig H.C.; Böttcher C.; Bouvard T.; Broström G.; Bruch V.; Cassiani M.; Chipperfield M.P.; Ciais P.; Damm E.; Dammers E.; Denier van der Gon H.; Dogniaux M.; Dowd E.; Dupouy F.; Eckhardt S.; Evangeliou N.; Feng W.; Jia M.; Jiang F.; Kaiser-Weiss A.K.; Kamoun I.; Kerridge B.J.; Lampert A.; Lana J.; Li F.; Maasakkers J.D.; Maclean J.-P.W.; Mamtimin B.; Marshall J.; Mauger G.; Mekkas A.; Mielke C.; Mohrmann M.; Moore D.P.; Nanni R.; Pätzold F.; Pison I.; Pisso I.; Platt S.M.; Préa R.; Queste B.Y.; Ramonet M.; Rehder G.; Remedios J.J.; Reum F.; Roiger A.; Schmidbauer N.; Siddans R.; Sunkisala A.; Thompson R.L.; Varon D.J.; Ventress L.J.; Wilson C.; Zhang Y.","Harris, Stephen J. (59551558900); Schwietzke, Stefan (52164473900); France, James L. (9733491000); Velandia Salinas, Nataly (59551481300); Meixus Fernandez, Tania (59551578000); Randles, Cynthia (24737203600); Guanter, Luis (8531925900); Irakulis-Loitxate, Itziar (57225051989); Calcan, Andreea (57205416961); Aben, Ilse (6603701937); Abrahamsson, Katarina (7006100206); Balcombe, Paul (55631770800); Berchet, Antoine (55830024200); Biddle, Louise C. (56495043600); Bittig, Henry C. (55557736800); Böttcher, Christian (59551522100); Bouvard, Timo (59551502600); Broström, Göran (6701829656); Bruch, Valentin (57219590078); Cassiani, Massimo (6603288024); Chipperfield, Martyn P. (7004402705); Ciais, Philippe (55399842300); Damm, Ellen (55880868400); Dammers, Enrico (55865907000); Denier van der Gon, Hugo (57204496157); Dogniaux, Matthieu (57224938240); Dowd, Emily (57222232149); Dupouy, François (59551541200); Eckhardt, Sabine (7102944401); Evangeliou, Nikolaos (34871696700); Feng, Wuhu (8383395800); Jia, Mengwei (57191279008); Jiang, Fei (13403147100); Kaiser-Weiss, Andrea K. (57191052773); Kamoun, Ines (59551522200); Kerridge, Brian J. (6701641583); Lampert, Astrid (25647920200); Lana, José (59551502700); Li, Fei (57709989200); Maasakkers, Joannes D. (56375106200); Maclean, Jean-Philippe W (58907988900); Mamtimin, Buhalqem (24464325800); Marshall, Julia (57193341821); Mauger, Gédéon (57188734316); Mekkas, Anouar (36598700800); Mielke, Christian (59551578200); Mohrmann, Martin (57216035707); Moore, David P. (35477134900); Nanni, Riccardo (59551618400); Pätzold, Falk (57190068004); Pison, Isabelle (25122923200); Pisso, Ignacio (8541571000); Platt, Stephen M. (55158654400); Préa, Raphaël (57203619853); Queste, Bastien Y. (54894353600); Ramonet, Michel (6701818843); Rehder, Gregor (55956886500); Remedios, John J. (6701797047); Reum, Friedemann (56348982200); Roiger, Anke (8442084800); Schmidbauer, Norbert (6602966752); Siddans, Richard (57194628631); Sunkisala, Anusha (57222277193); Thompson, Rona L. (55482250100); Varon, Daniel J. (57204364914); Ventress, Lucy J. (55944669900); Wilson, Chris (57200952551); Zhang, Yuzhong (57212270042)","59551558900; 52164473900; 9733491000; 59551481300; 59551578000; 24737203600; 8531925900; 57225051989; 57205416961; 6603701937; 7006100206; 55631770800; 55830024200; 56495043600; 55557736800; 59551522100; 59551502600; 6701829656; 57219590078; 6603288024; 7004402705; 55399842300; 55880868400; 55865907000; 57204496157; 57224938240; 57222232149; 59551541200; 7102944401; 34871696700; 8383395800; 57191279008; 13403147100; 57191052773; 59551522200; 6701641583; 25647920200; 59551502700; 57709989200; 56375106200; 58907988900; 24464325800; 57193341821; 57188734316; 36598700800; 59551578200; 57216035707; 35477134900; 59551618400; 57190068004; 25122923200; 8541571000; 55158654400; 57203619853; 54894353600; 6701818843; 55956886500; 6701797047; 56348982200; 8442084800; 6602966752; 57194628631; 57222277193; 55482250100; 57204364914; 55944669900; 57200952551; 57212270042","Methane emissions from the Nord Stream subsea pipeline leaks","2025","Nature","637","8048","","1124","1130","6","2","10.1038/s41586-024-08396-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217518054&doi=10.1038%2fs41586-024-08396-8&partnerID=40&md5=0e46bc120d6f7138b0bf52fe13aab871","Article","Final","","Scopus","2-s2.0-85217518054"
"Vinayachandran P.N.; Matthews A.J.; Vijay KuMar K.; Sanchez-FraNKs A.; Thushara V.; George J.; Vijith V.; Webber B.G.M.; Queste B.Y.; Roy R.; Sarkar A.; Baranowski D.B.; Bhat G.S.; Klingaman N.P.; Peatman S.C.; Parida C.; Heywood K.J.; Hall R.; King B.; Kent E.C.; Nayak A.A.; Neema C.P.; Amol P.; Lotliker A.; Kankonkar A.; Gracias D.G.; Vernekar S.; D’Souza A.C.; Valluvan G.; Pargaonkar S.M.; Dinesh K.; Giddings J.; Joshi M.","Vinayachandran, P.N. (6602570835); Matthews, Adrian J. (7202611735); Vijay KuMar, K. (57213396577); Sanchez-FraNKs, Alejandra (56079880700); Thushara, V. (56465929900); George, Jenson (55216769700); Vijith, V. (35106060800); Webber, Benjamin G. M. (55094619400); Queste, Bastien (54894353600); Roy, Rajdeep (14038235500); Sarkar, Amit (57205580148); Baranowski, Dariusz B (23966348600); Bhat, G.S. (36724322000); Klingaman, Nicholas P (22134875500); Peatman, Simon (55669661800); Parida, C. (56966750200); Heywood, Karen J (7003373288); Hall, Robert (55448565200); King, Brian (55802386000); Kent, Elizabeth (7004914081); Nayak, Anoop (57203945851); Neema, C.P. (12766656200); Amol, P. (55220254300); Lotliker, A. (8286734200); Kankonkar, A. (55597732500); Gracias, D.G. (56673886800); Vernekar, S. (55597758500); D’Souza, A.C. (57203945725); Valluvan, G. (57203942068); Pargaonkar, Shrikant M (57203946365); Dinesh, K. (56747589000); Giddings, Jack (58414587100); Joshi, Manoj (35570389600)","6602570835; 7202611735; 57213396577; 56079880700; 56465929900; 55216769700; 35106060800; 55094619400; 54894353600; 14038235500; 57205580148; 23966348600; 36724322000; 22134875500; 55669661800; 56966750200; 7003373288; 55448565200; 55802386000; 7004914081; 57203945851; 12766656200; 55220254300; 8286734200; 55597732500; 56673886800; 55597758500; 57203945725; 57203942068; 57203946365; 56747589000; 58414587100; 35570389600","Ocean–Atmosphere interaction and its impact on the south asian monsoon","2018","Bulletin of the American Meteorological Society","99","8","","1569","1587","18","49","10.1175/BAMS-D-16-0230.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052204857&doi=10.1175%2fBAMS-D-16-0230.1&partnerID=40&md5=80fc73530912b08160f83488b5b2a8bf","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85052204857"
"Blunden J.; Arndt D.S.; Abrahamsen E.P.; Barreira S.; Bitz C.M.; Butler A.; Clem K.R.; Colwell S.; Coy L.; De Laat J.; Du Plessis M.D.; Fogt R.L.; Fricker H.A.; Fyfe J.; Gardner A.S.; Gille S.T.; Gorte T.; Gregor L.; Hobbs W.; Johnson B.; Keenan E.; Keller L.M.; Kramarova N.A.; Lazzara M.A.; Lenaerts J.T.M.; Lieser J.L.; Liu H.; Long C.S.; MacLennan M.; Massom R.A.; Massonnet F.; Mazloff M.R.; Mikolajczyk D.; Narayanan A.; Nash E.R.; Newman P.A.; Petropavlovskikh I.; Pitts M.; Queste B.Y.; Reid P.; Roquet F.; Santee M.L.; Scambos T.A.; Stammerjohn S.; Strahan S.; Swart S.; Wang L.; Andersen A.; Griffin J.; Hammer G.; Love-Brotak S.E.; Misch D.J.; Riddle D.B.; Veasey S.W.","Blunden, Jessica (8856898200); Arndt, Derek S. (7004941120); Abrahamsen, E. Povl (14024101800); Barreira, Sandra (39361136600); Bitz, Cecilia M. (6602558284); Butler, Amy (23975368700); Clem, Kyle R. (55937166600); Colwell, Steve (7003796684); Coy, Lawrence (55950356400); De Laat, Jos (7006351262); Du Plessis, Marcel D. (57191377684); Fogt, Ryan L. (6508003871); Fricker, Helen Amanda (8245528300); Fyfe, John (7005664339); Gardner, Alex S. (22937577900); Gille, Sarah T. (7004238284); Gorte, Tessa (57221101778); Gregor, L. (55774531400); Hobbs, Will (16426058200); Johnson, Bryan (55272324200); Keenan, Eric (57031582200); Keller, Linda M. (7202066251); Kramarova, Natalya A. (23994284000); Lazzara, Matthew A. (57206529610); Lenaerts, Jan T. M. (35490828000); Lieser, Jan L. (6603042456); Liu, Hongxing (12240469400); Long, Craig S. (23978267300); MacLennan, Michelle (57201943164); Massom, Robert A. (6701626212); Massonnet, François (49863868100); Mazloff, Matthew R. (15750860000); Mikolajczyk, David (57194337006); Narayanan, A. (58420824700); Nash, Eric R. (7005816283); Newman, Paul A. (7202400272); Petropavlovskikh, Irina (6603059928); Pitts, Michael (7005453641); Queste, Bastien Y. (54894353600); Reid, Phillip (55426220700); Roquet, F. (22942264400); Santee, Michelle L. (6701581258); Scambos, Ted A. (7003916945); Stammerjohn, Sharon (6602775903); Strahan, Susan (6701478238); Swart, Sebastiann (16481564100); Wang, Lei (57070565000); Andersen, Andrea (57202747696); Griffin, Jessicca (57191593782); Hammer, Gregory (57203936408); Love-Brotak, S. Elizabeth (57191596254); Misch, Deborah J. (57191593248); Riddle, Deborah B. (57191598064); Veasey, Sara W. (57191589997)","8856898200; 7004941120; 14024101800; 39361136600; 6602558284; 23975368700; 55937166600; 7003796684; 55950356400; 7006351262; 57191377684; 6508003871; 8245528300; 7005664339; 22937577900; 7004238284; 57221101778; 55774531400; 16426058200; 55272324200; 57031582200; 7202066251; 23994284000; 57206529610; 35490828000; 6603042456; 12240469400; 23978267300; 57201943164; 6701626212; 49863868100; 15750860000; 57194337006; 58420824700; 7005816283; 7202400272; 6603059928; 7005453641; 54894353600; 55426220700; 22942264400; 6701581258; 7003916945; 6602775903; 6701478238; 16481564100; 57070565000; 57202747696; 57191593782; 57203936408; 57191596254; 57191593248; 57191598064; 57191589997","Antarctica and the Southern Ocean","2020","Bulletin of the American Meteorological Society","101","8","","S287","S320","33","6","10.1175/BAMS-D-20-0090.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093514247&doi=10.1175%2fBAMS-D-20-0090.1&partnerID=40&md5=3ea9ff91939c185f1ec3066257556327","Review","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85093514247"
"Queste B.Y.; Fernand L.; Jickells T.D.; Heywood K.J.","Queste, Bastien Y. (54894353600); Fernand, Liam (57203203337); Jickells, Timothy D. (7005851232); Heywood, Karen J. (7003373288)","54894353600; 57203203337; 7005851232; 7003373288","Spatial extent and historical context of North Sea oxygen depletion in August 2010","2013","Biogeochemistry","113","1-3","","53","68","15","44","10.1007/s10533-012-9729-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876284890&doi=10.1007%2fs10533-012-9729-9&partnerID=40&md5=e74fda1942dbb78a438fc311d6acbd95","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84876284890"
"Queste B.Y.; Vic C.; Heywood K.J.; Piontkovski S.A.","Queste, Bastien Y. (54894353600); Vic, Clément (56082999200); Heywood, Karen J. (7003373288); Piontkovski, Sergey A. (6602165194)","54894353600; 56082999200; 7003373288; 6602165194","Physical Controls on Oxygen Distribution and Denitrification Potential in the North West Arabian Sea","2018","Geophysical Research Letters","45","9","","4143","4152","9","55","10.1029/2017GL076666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046415187&doi=10.1029%2f2017GL076666&partnerID=40&md5=d1fdac6266b9c2438f9db98b5155ebdb","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85046415187"
"Font E.; Swart S.; Bruss G.; Sheehan P.M.F.; Heywood K.J.; Queste B.Y.","Font, Estel (57222173077); Swart, Sebastiaan (16481564100); Bruss, Gerd (36130127200); Sheehan, Peter M. F. (7103181816); Heywood, Karen J. (7003373288); Queste, Bastien Y. (54894353600)","57222173077; 16481564100; 36130127200; 7103181816; 7003373288; 54894353600","Ventilation of the Arabian Sea Oxygen Minimum Zone by Persian Gulf Water","2024","Journal of Geophysical Research: Oceans","129","5","e2023JC020668","","","","0","10.1029/2023JC020668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191756396&doi=10.1029%2f2023JC020668&partnerID=40&md5=cdb2bd606fe87c3755d673e5c67b6e5e","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191756396"
"Loveday B.R.; Smyth T.; Akpinar A.; Hull T.; Inall M.E.; Kaiser J.; Queste B.Y.; Tobermann M.; Williams C.A.J.; Palmer M.R.","Loveday, Benjamin R. (55835319400); Smyth, Timothy (35562165200); Akpinar, Anll (57194195104); Hull, Tom (56494457400); Inall, Mark E. (6602137873); Kaiser, Jan (7402184800); Queste, Bastien Y. (54894353600); Tobermann, Matt (57937325900); Williams, Charlotte A. J. (55904500500); Palmer, Matthew R. (57210804491)","55835319400; 35562165200; 57194195104; 56494457400; 6602137873; 7402184800; 54894353600; 57937325900; 55904500500; 57210804491","Application of a new net primary production methodology: A daily to annual-scale data set for the North Sea, derived from autonomous underwater gliders and satellite Earth observation","2022","Earth System Science Data","14","9","","3997","4016","19","1","10.5194/essd-14-3997-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140376083&doi=10.5194%2fessd-14-3997-2022&partnerID=40&md5=c146b8d90b84895becfa00bf5ac3b84f","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140376083"
"Wåhlin A.K.; Graham A.G.C.; Hogan K.A.; Queste B.Y.; Boehme L.; Larter R.D.; Pettit E.C.; Wellner J.; Heywood K.J.","Wåhlin, A.K. (7007140552); Graham, A.G.C. (16066889900); Hogan, K.A. (35798492500); Queste, B.Y. (54894353600); Boehme, L. (57203674675); Larter, R.D. (7003885261); Pettit, E.C. (7004281114); Wellner, J. (59476499200); Heywood, K.J. (7003373288)","7007140552; 16066889900; 35798492500; 54894353600; 57203674675; 7003885261; 7004281114; 59476499200; 7003373288","Pathways and modification of warm water flowing beneath Thwaites Ice Shelf, West Antarctica","2021","Science Advances","7","15","eabd7254","","","","56","10.1126/SCIADV.ABD7254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104209661&doi=10.1126%2fSCIADV.ABD7254&partnerID=40&md5=bfc77e8b865b7f598123a64305f22cbe","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104209661"
"Queste B.Y.; Fernand L.; Jickells T.D.; Heywood K.J.","Queste, Bastien Y. (54894353600); Fernand, Liam (57203203337); Jickells, Timothy D. (7005851232); Heywood, Karen J. (7003373288)","54894353600; 57203203337; 7005851232; 7003373288","Erratum to: Spatial extent and historical context of North Sea oxygen depletion in August 2010 (Biogeochemistry, (2013), 113, 1-3, (53-68), 10.1007/s10533-012-9729-9)","2016","Biogeochemistry","131","1-2","","253","","","0","10.1007/s10533-016-0258-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992316325&doi=10.1007%2fs10533-016-0258-9&partnerID=40&md5=313916edefb958ea10629a6c588e218f","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84992316325"
